Receiving Committee,date,total
Perez,2021-09-20,9570
Perez,2021-09-21,16456
Perez,2021-09-22,10621.78
Perez,2021-09-23,5726
Perez,2021-09-24,8007
Perez,2021-09-25,3565
Perez,2021-09-26,3191
Perez,2021-09-27,22866
Perez,2021-09-28,18430
Perez,2021-09-29,6320
Perez,2021-09-30,22098
Perez,2021-10-01,8747
Perez,2021-10-02,3049.6
Perez,2021-10-03,3477.5
Perez,2021-10-04,5399.5
Perez,2021-10-05,9568.1
Perez,2021-10-06,3440
Perez,2021-10-07,38980
Perez,2021-10-08,4765.3
Perez,2021-10-09,2450
Perez,2021-10-10,501
Perez,2021-10-11,2274.1
Perez,2021-10-12,13425
Perez,2021-10-13,4464.54
Perez,2021-10-14,8019.45
Perez,2021-10-15,18058
Perez,2021-10-16,3525
Perez,2021-10-17,5108.32
Perez,2021-10-18,8162.49
Perez,2021-10-19,14177.7
Perez,2021-10-20,4903.51
Perez,2021-10-21,2750.87
Perez,2021-10-22,14254.8
Perez,2021-10-23,1344
Perez,2021-10-24,6802.52
Perez,2021-10-25,16045.04
Perez,2021-10-26,13994.59
Perez,2021-10-27,5565.71
Perez,2021-10-28,9656
Perez,2021-10-29,10928.27
Perez,2021-10-30,8554.32
Perez,2021-10-31,4199.76
Perez,2021-11-01,10432.5
Perez,2021-11-02,1884
Perez,2021-11-03,2620.5
Perez,2021-11-04,3291
Perez,2021-11-05,10000
Perez,2021-11-06,567
Perez,2021-11-07,2337.21
Perez,2021-11-08,13903.44
Perez,2021-11-09,7618.28
Perez,2021-11-10,6603.45
Perez,2021-11-11,15799.34
Perez,2021-11-12,1203.45
Perez,2021-11-13,3911.45
Perez,2021-11-14,7058.6
Perez,2021-11-15,9209.7
Perez,2021-11-16,20744.12
Perez,2021-11-17,4213.32
Perez,2021-11-18,8162.02
Perez,2021-11-19,21568.46
Perez,2021-11-20,3764.9900000000002
Perez,2021-11-21,1370.02
Perez,2021-11-22,3946.02
Perez,2021-11-23,5696.85
Perez,2021-11-24,209.62
Perez,2021-11-25,551.45
Perez,2021-11-26,273.21999999999997
Perez,2021-11-27,1327.5
Perez,2021-11-28,2392.7
Perez,2021-11-29,30963.28
Perez,2021-11-30,6534.99
Perez,2021-12-01,6079.02
Perez,2021-12-02,12901.210000000001
Perez,2021-12-03,5679
Perez,2021-12-04,56211.7
Perez,2021-12-05,2100
Perez,2021-12-06,30000.4
Perez,2021-12-07,20079.46
Perez,2021-12-08,9745.17
Perez,2021-12-09,9037.4
Perez,2021-12-10,24641.28
Perez,2021-12-11,4919.6
Perez,2021-12-12,9671.45
Perez,2021-12-13,19163.56
Perez,2021-12-14,18058.94
Perez,2021-12-15,22860.27
Perez,2021-12-16,5007.26
Perez,2021-12-17,58579.22
Perez,2021-12-18,9192.83
Perez,2021-12-19,2920.45
Perez,2021-12-20,41961.05
Perez,2021-12-21,17652.02
Perez,2021-12-22,424
Perez,2021-12-23,1123.29
Perez,2021-12-24,9103.36
Perez,2021-12-25,285
Perez,2021-12-26,3205
Perez,2021-12-27,10938.95
Perez,2021-12-28,26382
Perez,2021-12-29,6752.12
Perez,2021-12-30,22449
Perez,2021-12-31,11424
Perez,2022-01-01,242
Perez,2022-01-02,2
Perez,2022-01-03,7011
Perez,2022-01-04,45132.19
Perez,2022-01-05,35888.27
Perez,2022-01-06,31321
Perez,2022-01-07,30573.81
Perez,2022-01-08,40211.7
Perez,2022-01-09,8744.35
Perez,2022-01-10,85919.06
Perez,2022-01-11,52713
Perez,2022-01-12,152201.4
Schulz,2021-04-14,150
Schulz,2021-04-15,12700
Schulz,2021-04-16,1150
Schulz,2021-04-17,175
Schulz,2021-04-18,1000
Schulz,2021-04-19,300
Schulz,2021-04-21,275
Schulz,2021-04-22,6000
Schulz,2021-04-23,16050
Schulz,2021-04-26,500
Schulz,2021-04-27,7500
Schulz,2021-04-28,8335
Schulz,2021-04-29,9875
Schulz,2021-04-30,7195.22
Schulz,2021-05-01,250
Schulz,2021-05-04,10550
Schulz,2021-05-05,1426
Schulz,2021-05-06,12000
Schulz,2021-05-07,27750
Schulz,2021-05-09,1100
Schulz,2021-05-10,26551
Schulz,2021-05-11,100
Schulz,2021-05-12,7600
Schulz,2021-05-14,5000
Schulz,2021-05-15,1250
Schulz,2021-05-17,2550
Schulz,2021-05-18,3100
Schulz,2021-05-19,3200
Schulz,2021-05-20,3100
Schulz,2021-05-21,1500
Schulz,2021-05-22,3000
Schulz,2021-05-23,3195
Schulz,2021-05-24,41605
Schulz,2021-05-25,6450
Schulz,2021-05-26,10425
Schulz,2021-05-27,500
Schulz,2021-05-28,200
Schulz,2021-05-29,2750
Schulz,2021-05-31,1500
Schulz,2021-06-01,6000
Schulz,2021-06-02,1000
Schulz,2021-06-03,15575
Schulz,2021-06-04,21025
Schulz,2021-06-05,826
Schulz,2021-06-07,63251.28
Schulz,2021-06-08,17400
Schulz,2021-06-09,11300
Schulz,2021-06-10,4250
Schulz,2021-06-11,19710
Schulz,2021-06-12,500
Schulz,2021-06-13,425
Schulz,2021-06-14,550
Schulz,2021-06-15,700
Schulz,2021-06-16,3625
Schulz,2021-06-18,2000
Schulz,2021-06-19,125
Schulz,2021-06-20,300
Schulz,2021-06-21,5570
Schulz,2021-06-22,685
Schulz,2021-06-23,1535
Schulz,2021-06-24,53915
Schulz,2021-06-25,20455
Schulz,2021-06-26,5000
Schulz,2021-06-27,5000
Schulz,2021-06-28,2160
Schulz,2021-06-29,2250
Schulz,2021-06-30,2035
Schulz,2021-07-01,8850
Schulz,2021-07-02,295
Schulz,2021-07-05,461
Schulz,2021-07-06,3660
Schulz,2021-07-07,95
Schulz,2021-07-08,3700
Schulz,2021-07-09,835
Schulz,2021-07-10,60
Schulz,2021-07-12,445
Schulz,2021-07-13,13620
Schulz,2021-07-14,1230
Schulz,2021-07-15,925
Schulz,2021-07-16,17880
Schulz,2021-07-17,345
Schulz,2021-07-18,995
Schulz,2021-07-19,5751
Schulz,2021-07-20,3000
Schulz,2021-07-21,250
Schulz,2021-07-22,4550
Schulz,2021-07-23,4000
Schulz,2021-07-26,10990
Schulz,2021-07-28,3398.67
Schulz,2021-07-29,7600
Schulz,2021-07-30,11050
Schulz,2021-07-31,1350
Schulz,2021-08-01,375
Schulz,2021-08-04,500
Schulz,2021-08-05,76
Schulz,2021-08-06,1000
Schulz,2021-08-07,5
Schulz,2021-08-08,250
Schulz,2021-08-09,1150
Schulz,2021-08-10,1670
Schulz,2021-08-11,800
Schulz,2021-08-12,50
Schulz,2021-08-15,1000
Schulz,2021-08-16,8350
Schulz,2021-08-17,2076
Schulz,2021-08-18,4535
Schulz,2021-08-19,2000
Schulz,2021-08-20,20379.66
Schulz,2021-08-22,100
Schulz,2021-08-24,2750
Schulz,2021-08-25,5770
Schulz,2021-08-26,600
Schulz,2021-08-27,12520
Schulz,2021-08-28,50
Schulz,2021-08-29,1235
Schulz,2021-08-30,5850
Schulz,2021-08-31,3285
Schulz,2021-09-01,875
Schulz,2021-09-02,85
Schulz,2021-09-03,385
Schulz,2021-09-04,1500
Schulz,2021-09-05,1241
Schulz,2021-09-06,1320
Schulz,2021-09-07,3820
Schulz,2021-09-08,17390
Schulz,2021-09-09,8250
Schulz,2021-09-10,9887
Schulz,2021-09-11,25
Schulz,2021-09-12,870
Schulz,2021-09-13,4800
Schulz,2021-09-14,3530
Schulz,2021-09-15,2725
Schulz,2021-09-16,6160
Schulz,2021-09-17,41895
Schulz,2021-09-18,1135
Schulz,2021-09-19,585
Schulz,2021-09-20,3500
Schulz,2021-09-21,435
Schulz,2021-09-22,310
Schulz,2021-09-23,1500
Schulz,2021-09-24,2270
Schulz,2021-09-25,1070
Schulz,2021-09-26,1235
Schulz,2021-09-27,19060
Schulz,2021-09-28,4625
Schulz,2021-09-29,5075
Schulz,2021-09-30,42223
Schulz,2021-10-01,1270
Schulz,2021-10-02,100
Schulz,2021-10-03,475
Schulz,2021-10-04,525
Schulz,2021-10-05,5876
Schulz,2021-10-06,1685
Schulz,2021-10-07,1125
Schulz,2021-10-08,15360
Schulz,2021-10-09,1310
Schulz,2021-10-10,360
Schulz,2021-10-11,6160
Schulz,2021-10-12,3380
Schulz,2021-10-13,3210
Schulz,2021-10-14,2050
Schulz,2021-10-15,8280
Schulz,2021-10-17,500
Schulz,2021-10-19,3750
Schulz,2021-10-20,8775
Schulz,2021-10-21,750
Schulz,2021-10-22,9050
Schulz,2021-10-23,20
Schulz,2021-10-24,2340
Schulz,2021-10-25,4935
Schulz,2021-10-26,1075
Schulz,2021-10-27,5401
Schulz,2021-10-28,10725
Schulz,2021-10-29,2800
Schulz,2021-10-30,1552
Schulz,2021-10-31,9205
Schulz,2021-11-01,6125
Schulz,2021-11-02,9260
Schulz,2021-11-03,2475
Schulz,2021-11-04,17539
Schulz,2021-11-05,1676
Schulz,2021-11-06,6350
Schulz,2021-11-07,425
Schulz,2021-11-08,12630
Schulz,2021-11-09,3645
Schulz,2021-11-10,16184
Schulz,2021-11-11,2525
Schulz,2021-11-12,45695
Schulz,2021-11-13,1500
Schulz,2021-11-15,5525
Schulz,2021-11-16,15000
Schulz,2021-11-17,7600
Schulz,2021-11-18,31000
Schulz,2021-11-19,9055
Schulz,2021-11-20,40
Schulz,2021-11-21,500
Schulz,2021-11-22,6370
Schulz,2021-11-23,1780
Schulz,2021-11-24,250
Schulz,2021-11-26,200
Schulz,2021-11-28,1000
Schulz,2021-11-29,4070
Schulz,2021-11-30,4630
Schulz,2021-12-01,775
Schulz,2021-12-02,2500
Schulz,2021-12-03,3345
Schulz,2021-12-04,100
Schulz,2021-12-05,75
Schulz,2021-12-07,750
Schulz,2021-12-08,4500
Schulz,2021-12-09,5810
Schulz,2021-12-10,750
Schulz,2021-12-11,1260
Schulz,2021-12-12,2550
Schulz,2021-12-13,4000
Schulz,2021-12-16,20165
Schulz,2021-12-17,100
Schulz,2021-12-19,25
Schulz,2021-12-20,135
Schulz,2021-12-21,3575
Schulz,2021-12-22,2660
Schulz,2021-12-23,6100
Schulz,2021-12-24,50
Schulz,2021-12-27,170
Schulz,2021-12-28,1838
Schulz,2021-12-29,1551
Schulz,2021-12-30,5125
Schulz,2021-12-31,42815
Schulz,2022-01-01,2500
Schulz,2022-01-02,75
Schulz,2022-01-03,50
Schulz,2022-01-04,6500
Schulz,2022-01-05,6680
Schulz,2022-01-06,7150
Schulz,2022-01-07,15560
Schulz,2022-01-08,2075
Schulz,2022-01-09,6690
Schulz,2022-01-10,30560
Schulz,2022-01-11,45695
Schulz,2022-01-12,78130
