zip,total,estimate,per_100k
21128,5795,13985,41437.25420092957
21120,2927.82,7095,41265.96194503171
21234,28202.95,68381,41243.839663064304
20744,22632.22,54925,41205.680473372784
21155,1015,2532,40086.887835703
21851,2775.22,6949,39936.96934810764
21755,2170,5603,38729.25218632875
20732,3763.67,9820,38326.5784114053
20832,10120.22,26437,38280.51594356394
21221,15920,42078,37834.497837349685
20782,12631.83,33398,37822.115096712376
20645,275,749,36715.62082777036
21901,6140,16790,36569.38653960691
21903,2165,5947,36404.91003867496
21915,1072.5,2949,36368.26042726348
21223,8097.5,22392,36162.4687388353
21013,1720,4768,36073.82550335571
20746,9682,27041,35804.888872452946
20879,9124.03,26164,34872.45833970341
21758,1755,5127,34230.5441778818
21784,12699.35,37365,33987.28756858022
21620,4318.5,12850,33607.00389105058
20876,10341,30778,33598.67437780233
20904,18549.52,55275,33558.606965174135
21214,6981.97,21392,32638.229244577415
20812,100,309,32362.459546925566
21524,250,775,32258.06451612903
21237,9716,30129,32248.000265524912
21215,18634.29,58283,31972.08448432648
21757,885,2793,31686.358754027926
20878,19735.12,63030,31310.67745518007
21911,3467,11130,31150.044923629826
20745,8576,27790,30860.021590500182
20880,165,547,30164.53382084095
20676,1160,3848,30145.53014553015
21783,2680,8894,30132.673712615247
20617,250,832,30048.076923076922
20874,18295.22,61087,29949.44914629954
20707,9752.5,32798,29735.044819806084
20650,4281.1,14672,29178.707742639042
21222,15898.84,55212,28795.986379772516
21613,4911,17132,28665.65491477936
20708,7857,27843,28218.941924361603
21216,8507.28,30179,28189.40322740979
20674,235,848,27712.264150943392
21144,9791,35335,27709.070326871377
21078,5078.5,18366,27651.638897963625
21740,16799,61768,27196.93044942365
20872,3371,12603,26747.599777830677
21874,500,1874,26680.896478121664
21793,2760,10416,26497.695852534565
20636,2810.22,10805,26008.514576584912
21236,10082,39707,25390.98899438386
21090,2505,9991,25072.5653087779
21804,10138.44,40877,24802.30936712577
20770,6030.44,24560,24553.908794788273
21239,7340.85,30424,24128.484091506707
21220,9786.22,41051,23839.175659545443
20716,5162.23,22237,23214.597292800285
20715,6373.92,27556,23130.788213093336
21405,75,337,22255.19287833828
20692,200,899,22246.94104560623
21550,3025,14077,21488.953612275345
20705,5889.5,27663,21290.170986516285
21085,3395,16055,21146.06041731548
20853,6535.87,31061,21042.046295998196
21205,3410,16239,20998.829977215348
21057,885,4232,20912.09829867675
20621,200,960,20833.333333333336
20906,14499.65,70749,20494.49462183211
21001,4840.5,24752,19555.995475113123
21217,6578.2,33644,19552.3718939484
21108,3620.22,18782,19274.944095410498
21061,10033,53860,18627.9242480505
21158,3856,20906,18444.465703625752
20712,1747,9608,18182.76436303081
21074,2725,15166,17967.822761440064
21206,9275.72,52020,17831.064975009613
20735,6731,38220,17611.19832548404
21207,8480.8,48872,17353.085611393028
21667,50,292,17123.287671232876
20860,477.72,2855,16732.74956217163
21640,250,1499,16677.78519012675
20686,290,1775,16338.028169014086
21157,6068,37749,16074.598002596096
20722,920,5728,16061.452513966482
20851,2447.38,15489,15800.761830976822
20886,5429,34834,15585.347648848827
21777,285,1868,15256.959314775162
20620,207.5,1369,15157.048940832723
20742,1000,6726,14867.677668748142
21668,265,1816,14592.511013215859
21229,6649.03,45921,14479.279632412186
21562,500,3519,14208.581983518045
21132,440,3232,13613.861386138615
21678,245,1842,13300.760043431053
21814,35,268,13059.701492537311
20737,2740,22295,12289.75106526127
21817,550,4515,12181.616832779624
21623,241,1989,12116.641528406235
20629,45,383,11749.34725848564
20637,673,5751,11702.312641279777
21767,75,650,11538.461538461539
21673,375,3270,11467.88990825688
20902,5767.98,52908,10901.905193921524
20664,375,3462,10831.889081455805
20653,2471,24274,10179.616050094752
20779,100,993,10070.493454179255
20639,1560,15793,9877.79395934908
20754,675,7124,9475.014037057832
20684,100,1066,9380.863039399625
21219,886,9550,9277.486910994765
20723,3230.95,35411,9124.142215695687
20685,625,6942,9003.169115528666
21912,100,1139,8779.63125548727
21050,1583,18123,8734.756938696682
20662,250,2876,8692.628650904033
21904,604,7075,8537.102473498233
21053,265,3225,8217.054263565891
21635,160,1983,8068.582955118507
20740,2515.12,31349,8022.967239784362
21040,1930,24166,7986.427211785152
20794,1396.23,17939,7783.209766430682
20837,485,6287,7714.331159535549
21060,2565,34899,7349.780796011347
20724,1285,17513,7337.4064980300345
20624,100,1409,7097.232079488999
21226,420,6247,6723.227149031535
20659,1536,23312,6588.881262868909
20733,175,2777,6301.764494058336
21102,740,11787,6278.102994824807
20618,25,406,6157.635467980295
20603,1830,31975,5723.221266614542
21856,50,875,5714.285714285714
21648,10,175,5714.285714285714
20601,1445,25517,5662.891405729513
21837,175,3200,5468.75
21727,360,6792,5300.3533568904595
21651,150,2894,5183.137525915688
20783,2295.22,45302,5066.487130811001
21028,140,2783,5030.542579949695
21853,600,11957,5017.98109893786
21829,20,401,4987.5311720698255
20748,1914,38904,4919.802590993214
20640,475,10333,4596.922481370367
21716,230,5078,4529.342260732572
20743,1705.66,37888,4501.847550675676
20657,831,19226,4322.271923437012
20877,1612.5,38423,4196.705098508706
20613,587,14020,4186.875891583452
21756,125,3056,4090.3141361256544
20667,25,633,3949.447077409163
20602,922.5,26550,3474.576271186441
20711,250,7413,3372.453797382976
20623,100,2997,3336.6700033366697
21776,178.4,5516,3234.2277012327772
20693,25,833,3001.2004801920766
21532,400,14726,2716.2841233192994
20747,1080.5,40484,2668.955636794783
21830,100,4060,2463.054187192118
20765,10,407,2457.002457002457
21643,138,5864,2353.342428376535
21711,25,1076,2323.420074349442
21639,122,5279,2311.0437582875543
21871,50,2198,2274.7952684258416
20784,670.44,30270,2214.866204162537
20616,125,6389,1956.4877132571607
21865,10,594,1683.5016835016834
21778,15,909,1650.16501650165
21161,85,5601,1517.586145331191
21402,100,6669,1499.47518368571
20710,140,9553,1465.5082173139328
20619,200,15052,1328.7270794578794
21034,46,3483,1320.7005455067472
20689,25,2081,1201.3455069678039
21661,25,2487,1005.2271813429835
20778,15,2079,721.5007215007215
21918,25,3692,677.1397616468039
21545,10,1740,574.7126436781609
21737,13.5,2462,548.3346872461414
20764,20.22,3829,528.0752154609559
21160,15,2933,511.4217524718718
21225,131,34363,381.2239909204668
21826,15,5325,281.69014084507046
21782,10,4495,222.4694104560623
21849,5,3577,139.78194017332962
21733,1,897,111.48272017837235
20755,10,10873,91.9709371838499
21022,19750,NA,NA
21843,15750,NA,NA
20773,12500,NA,NA
20859,11250,NA,NA
20830,6000,NA,NA
20016,5250,NA,NA
20825,4900,NA,NA
20750,3115,NA,NA
20827,2550,NA,NA
NA,2515,NA,NA
21741,2500,NA,NA
21803,2250,NA,NA
21404,2005,NA,NA
21023,2000,NA,NA
21094,2000,NA,NA
22314,2000,NA,NA
48226,2000,NA,NA
20170,1500,NA,NA
20775,1500,NA,NA
10510,1000,NA,NA
17055,1000,NA,NA
21922,919,NA,NA
21041,850,NA,NA
21203,850,NA,NA
20718,600,NA,NA
20627,500,NA,NA
20652,500,NA,NA
20725,500,NA,NA
20819,500,NA,NA
20908,500,NA,NA
21106,500,NA,NA
20824,325,NA,NA
20792,300,NA,NA
20834,250,NA,NA
21101,250,NA,NA
21318,250,NA,NA
22209,150,NA,NA
20012,110,NA,NA
22042,100,NA,NA
29012,100,NA,NA
20739,50,NA,NA
21284,50,NA,NA
21789,50,NA,NA
20849,35,NA,NA
00000,25,NA,NA
21765,25,NA,NA
20875,20,NA,NA
20709,15,NA,NA
20787,15,NA,NA
20719,10,NA,NA
20731,10,NA,NA
20885,10,NA,NA
20907,10,NA,NA
20703,5,NA,NA
32708,5,NA,NA
21055,0.96,NA,NA
