state,n,total_amount
Arizona,2,300
Arkansas,2,6100
California,4,4899.67
Colorado,2,600
Florida,13,17875
Georgia,1,1000
Illinois,3,1500
Maine,1,1000
Maryland,2330,1425366.16
Massachusetts,1,9
Michigan,1,250
Missouri,1,25
New Jersey,2,75
North Carolina,4,525
Pennsylvania,11,12850
South Carolina,4,800
Texas,2,500
Virginia,30,26190
District of Columbia,16,20635
West Virginia,1,1000
Wisconsin,1,500
